id,nom,id_sondage,tour,sous_echantillon
68,"Hypothèse Piolle-Hidalgo",17,1,615
69,"Hypothèse Hidalgo",17,1,607.5
70,"Hypothèse Jadot-Hollande",17,1,630
71,"Hypothèse Jadot",17,1,607.5
72,"Hypothèse Ciotti",18,1,839.77
73,"Hypothèse Juvin",18,1,818.51
74,"Hypothèse Bertrand / Zemmour",18,1,892.92
75,"Hypothèse Bertrand",18,1,871.66
76,"Hypothèse Pécresse",18,1,861.03
77,"Hypothèse Payre",18,1,807.88
78,"Hypothèse Barnier",18,1,850.4
79,"Hypothèse Pécresse",19,1,1685.04
80,"Hypothèse Bertrand",19,1,1725.16
81,"Hypothèse Barnier",19,1,1705.1
82,"Hypothèse Bertrand / Zemmour",20,1,806.49
83,"Hypothèse Barnier / Zemmour",20,1,778.68
84,"Hypothèse Pécresse / Zemmour",20,1,787.95
85,"Hypothèse Barnier",20,1,778.68
86,"Hypothèse Bertrand",20,1,797.22
87,"Hypothèse Pécresse",20,1,778.68
88,"Hypothèse Barnier sans Zemmour",21,1,851.31
89,"Hypothèse Barnier",21,1,893.35
90,"Hypothèse Pécresse sans Zemmour",21,1,851.31
91,"Hypothèse Pécresse",21,1,893.35
92,"Hypothèse Bertrand",21,1,903.86
93,"Hypothèse Bertrand sans Zemmour",21,1,861.82
94,"Hypothèse Bertrand / Zemmour",22,1,436.1
95,"Hypothèse Bertrand",22,1,411.6
96,"Hypothèse Barnier",22,1,416.5
97,"Hypothèse Pécresse",22,1,416.5
98,"Hypothèse Barnier / Zemmour",22,1,436.1
99,"Hypothèse Pécresse / Zemmour",22,1,436.1
100,"Hypothèse Baroin-Faure-Jadot",23,1,607.24
101,"Hypothèse Bertrand-Jadot",23,1,598.31
102,"Hypothèse Baroin-Jadot",23,1,607.24
103,"Hypothèse Bertrand-Faure-Jadot",23,1,589.38
104,"Hypothèse Montebourg / Bertrand",24,1,901.53
105,"Hypothèse Hidalgo / Bertrand / Pécresse",24,1,934.92
106,"Hypothèse Hidalgo / Bertrand",24,1,934.92
107,"Hypothèse Hidalgo / Pécresse",24,1,912.66
108,"Hypothèse Bertrand / Zemmour",25,1,955.144
109,"Hypothèse Juvin",25,1,887.11
110,"Hypothèse Bertrand",25,1,956.478
111,"Hypothèse Ciotti",25,1,920.46
112,"Hypothèse Pécresse / Zemmour",25,1,943.138
113,"Hypothèse Pécresse",25,1,931.132
114,"Hypothèse Barnier",25,1,915.124
115,"Hypothèse Bertrand / Montebourg",25,1,960.48
116,"Hypothèse Bertrand",26,1,1260
117,"Hypothèse Bertrand et Zemmour",26,1,1260
118,"Hypothèse Pécresse",26,1,1260
119,"Hypothèse Pécresse-Montebourg",27,1,732
120,"Hypothèse Bertrand-Montebourg",27,1,732
121,"Hypothèse Pécresse-Hidalgo",27,1,741.76
122,"Hypothèse Bertrand-Hidalgo",27,1,732
123,"Hypothèse Valérie Pécresse",28,1,992.264
124,"Hypothèse Michel Barnier",28,1,966.367
125,"Hypothèse Bruno Retailleau",28,1,943.196
126,"Hypothèse Xavier Bertrand",28,1,971.819
127,"Hypothèse Laurent Wauquiez",28,1,951.374
128,"Hypothèse Barnier",29,1,1720.86
129,"Hypothèse Pécresse",29,1,1720.86
130,"Hypothèse Bertrand",29,1,1720.86
131,"Hypothèse Juvin",30,1,941.34
132,"Hypothèse Bertrand",30,1,962.98
133,"Hypothèse Pécresse",30,1,952.16
134,"Hypothèse Barnier",30,1,962.98
135,"Hypothèse Ciotti",30,1,941.34
136,"Hypothèse Bertrand",31,1,1730
137,"Hypothèse Jadot-Pécresse",31,1,1730
138,"Hypothèse Hidalgo-Bertrand",31,1,1730
139,"Hypothèse Wauquiez",31,1,1730
140,"Hypothèse Pécresse",31,1,1730
141,"Hypothèse Hidalgo-Pécresse",31,1,1730
142,"Hypothèse Retailleau",31,1,1730
143,"Hypothèse Jadot-Bertrand",31,1,1730
144,"Hypothèse Montebourg-Jadot",31,1,1730
145,"Hypothèse Hidalgo-Piolle",31,1,1730
146,"Hypothèse « offre complète »",32,1,1095.36
147,"Hypothèse Union de la gauche derrière Jadot",32,1,1069.28
148,"Hypothèse Union de la gauche derrière Mélenchon",32,1,1043.2
149,"Hypothèse Union de la gauche derrière Hidalgo",32,1,1030.16
150,,33,1,10071.68
151,"Hypothèse Pécresse",34,1,6195.28
152,"Hypothèse Bertrand",34,1,6263.36
153,"Hypothèse Retailleau",34,1,6127.2
154,"Hypothèse Ciotti",35,1,896.12
155,"Hypothèse Barnier",35,1,906.54
156,"Hypothèse Bertrand",35,1,906.54
157,"Hypothèse Juvin",35,1,875.28
158,"Hypothèse Pécresse",35,1,906.54
159,"Hypothèse X. Bertrand",36,1,676.45
160,"Hypothèse V. Pécresse",36,1,676.45
161,"Hypothèse L. Wauquiez",36,1,676.45
162,"Hypothèse Montebourg / Bertrand",37,1,888.06
163,"Hypothèse Hidalgo / Ciotti",37,1,855.57
164,"Hypothèse Hidalgo / Pécresse",37,1,877.23
165,"Hypothèse Hidalgo / Bertrand",37,1,888.06
166,,38,1,1727.2
167,"Hypothèse Pécresse",39,1,805.8
168,"Hypothèse Bertrand / Zemmour",39,1,815.28
169,"Hypothèse Pécresse / Zemmour",39,1,815.28
170,"Hypothèse Bertrand",39,1,824.76
171,"Hypothèse Pécresse / Zemmour",40,1,975.422
172,"Hypothèse Barnier / Zemmour",40,1,967.316
173,"Hypothèse Bertrand",40,1,959.21
174,"Hypothèse Bertrand / Zemmour",40,1,990.283
175,"Hypothèse Ciotti / Zemmour",40,1,947.051
176,"Hypothèse Barnier",40,1,933.541
177,"Hypothèse Pécresse",40,1,938.945
178,"Hypothèse Bertrand",41,1,1911
179,"Hypothèse Pécresse",41,1,1813
180,"Hypothèse Union de la gauche derrière Jadot",41,1,2009
181,"Hypothèse Wauquiez",42,1,1020
182,"Hypothèse Pécresse",42,1,1020
183,"Hypothèse Bertrand",42,1,1020
184,"Hypothèse V. Pécresse",43,1,1057
185,"Hypothèse X. Bertrand",43,1,1057
186,"Hypothèse Juvin",44,1,1351
187,"Hypothèse Ciotti",44,1,1351
188,"Hypothèse Pécresse",44,1,1351
189,"Hypothèse Barnier",44,1,1351
190,"Hypothèse Bertrand",44,1,1351
191,"Hypothèse Ciotti",45,1,1557.12
192,"Hypothèse Barnier",45,1,1581.45
193,"Hypothèse Bertrand",45,1,1654.44
194,"Hypothèse Juvin",45,1,1532.79
195,"Hypothèse Pécresse",45,1,1630.11
196,"Hypothèse Rousseau / Pécresse",46,1,607.5
197,"Hypothèse Jadot / Pécresse",46,1,623.7
198,"Hypothèse Rousseau / Bertrand",46,1,623.7
199,"Hypothèse Jadot / Bertrand",46,1,623.7
200,"Hypothèse Bertrand",47,1,667.5
201,"Hypothèse Bertrand / Zemmour",47,1,690
202,"Hypothèse Pécresse / Zemmour",47,1,675
203,"Hypothèse Pécresse",47,1,660
204,"Hypothèse Barnier / Zemmour",47,1,675
205,"Hypothèse Barnier",47,1,667.5
206,"Hypothèse Barnier",48,1,1771.6
207,"Hypothèse Pécresse",48,1,1751
208,"Hypothèse Bertrand",48,1,1812.8
209,"Hypothèse Bertrand",49,1,903.84
210,"Hypothèse Barnier",49,1,871.56
211,"Hypothèse Bertrand / Zemmour",49,1,903.84
212,"Hypothèse Pécresse",49,1,914.6
213,"Hypothèse Bertrand / Montebourg",49,1,903.84
214,"Hypothèse Pécresse",50,1,2071
215,"Hypothèse Barnier",50,1,2071
216,"Hypothèse Bertrand",50,1,2071
217,"Hypothèse Xavier Bertrand",51,1,710.64
218,"Hypothèse Valérie Pécresse",51,1,693.72
219,"Hypothèse Barnier",52,1,824.76
220,"Hypothèse Pécresse",52,1,824.76
221,"Hypothèse Bertrand",52,1,834.24
222,"Hypothèse Bertrand",53,1,1762.64
223,"Hypothèse Pécresse",53,1,1722.58
224,"Hypothèse Barnier",53,1,1702.55
225,"Hypothèse Juvin",54,1,965.538
226,"Hypothèse Bertrand",54,1,991.34
227,"Hypothèse Barnier",54,1,985.908
228,"Hypothèse Pécresse",54,1,977.76
229,"Hypothèse Ciotti",54,1,957.39
230,,55,1,642.067
231,"Hypothèse X. Bertrand",56,1,861.9
232,"Hypothèse V. Pécresse",56,1,841.62
233,"Hypothèse Pécresse",57,1,1823.2
234,"Hypothèse Juvin",57,1,1780.8
235,"Hypothèse Ciotti",57,1,1780.8
236,"Hypothèse Bertrand",57,1,1865.6
237,"Hypothèse Barnier",57,1,1844.4
238,"Hypothèse V. Pécresse",58,1,800.8
239,"Hypothèse X. Bertrand",58,1,820.82
240,"Hypothèse Pécresse",59,1,1743.22
241,"Hypothèse Bertrand",59,1,1743.22
242,"Hypothèse Barnier",59,1,1743.22
243,"Hypothèse Bertrand",60,1,801.32
244,"Hypothèse Wauquiez",60,1,783.9
245,"Hypothèse Pécresse",60,1,783.9
246,"Hypothèse Bertrand",61,1,890.8
247,"Hypothèse Barnier",61,1,859.36
248,"Hypothèse Pécresse",61,1,880.32
249,,62,1,9387.9
250,"Hypothèse Wauquiez",63,1,922.2
251,"Hypothèse Barnier",63,1,932.8
252,"Hypothèse Bertrand",63,1,954
253,"Hypothèse Pécresse",63,1,943.4
254,,64,1,1741.828
255,"Hypothèse Barnier",65,1,2067
256,"Hypothèse Bertrand",65,1,2067
257,"Hypothèse Pécresse",65,1,2039.44
258,"Hypothèse François Baroin",66,1,614.048
259,"Hypothèse Xavier Bertrand",66,1,614.048
260,"Hypothèse Xavier Bertrand",66,1,615.04
261,,67,1,1277.43
262,,68,1,670.695
263,,69,1,6655.74
264,,70,1,515.042
